sentence,pred,label,loss
conceptually cream skimming has two basic dimensions - product and geography.,two,two,0.012285158038139343
one of our number will carry out your instructions minutely.,men,number,10.953250885009766
how do you know? all this is their information again.,source,again,5.657688140869141
my walkman broke so i'm upset now i just have to turn the stereo up real loud,m,m,6.365573790390044e-05
(read  for slate 's take on jackson's findings.),.,.,0.039060305804014206
gays and lesbians.,##s,##s,0.004799868445843458
"i burst through a set of cabin doors, and fell to the ground-",double,cabin,10.226361274719238
fun for adults and children.,for,for,0.04665933921933174
issues in data synthesis.,organic,data,6.432512283325195
well you see that on television also,saw,see,2.2647008895874023
vrenna and i both fought him and he nearly took us.,killed,took,5.269556045532227
this analysis pooled estimates from these two studies to develop a c-r function linking pm to chronic bronchitis.,bro,bro,0.00028546550311148167
he turned and smiled at vrenna.,looked,smiled,2.268517255783081
we sought to identify practices that were commonly implemented by the agencies within the past 5 years.,not,commonly,6.669158458709717
the other men shuffled.,nodded,shuffled,8.254000663757324
well it's been very interesting,',',0.0001627074379939586
he started slowly back to the bunkhouse.,the,the,0.0349908173084259
yeah well you're a student right,re,re,9.775113539944869e-06
postal service were to reduce delivery frequency.,services,service,5.365248680114746
were they in there?,trouble,there,4.211609363555908
there's a uh a couple called um oh i'm going to forgot his name now uh dirkson,',',0.00036376056959852576
"poirot, i exclaimed, with relief, and seizing him by both hands, i dragged him into the room. ",thought,exclaimed,7.00817346572876
"the word aswan actually means trade or market in ancient egyptian, signifying its most pre-eminent activity.",name,word,1.1441986560821533
well what the market can bear and,world,market,7.695294380187988
and it is nice talking to you all righty,talking,talking,0.20304429531097412
you have access to the facts. ,i,you,1.3970438241958618
build environment engineering manufacturing production (all rate tooling) (1st set of production tooling),(,(,0.00349304242990911
she smiled back.,stepped,smiled,3.115253448486328
how do we fix this?',?,?,0.0004576589271891862
but that takes too much planning,much,much,0.02984853833913803
because it plays on my childhood imagination.,on,on,0.5492255091667175
it's slow it's uh there are many better machines on the market right now for,right,right,0.15005232393741608
"at the heart of the sanctuary, a small granite shrine once held the sacred barque of horus himself.",wooden,granite,4.243950843811035
consider the united states postal service.,states,states,0.00039843725971877575
in full costume.,color,costume,4.028731822967529
take a remarkable statistic that shesol cites but lets pass relatively unexamined.,une,une,0.009743276983499527
get individuals to invest their time and the funding will follow.,to,to,0.015382813289761543
"the man on the ground thinks for a moment and yells back, you must work in management.",out,back,1.0695021152496338
the economy could be still better.,be,be,0.058953847736120224
hills and mountains are especially sanctified in the cult of jainism.,in,in,0.7115167379379272
the famous tenements (or lands ) began to be built.,ten,ten,0.3766385316848755
in the midst of this amazing amalgam of cultures is a passion for continuity.,this,this,0.4293450713157654
entreaties to the apartment's owner have gone nowhere.,##ati,##ati,0.021762147545814514
mrs. cavendish is in her mother-in-law's room. ,sister,mother,1.6398788690567017
but i thought you'd sworn off coffee.,',',0.00031192204914987087
we stink all the time.,they,we,3.243926763534546
ca'daan continued.,',',0.6394879221916199
well because how how hot i mean like like in the coldest that it gets in winter down there how much is it,much,how,9.049474716186523
each of the men wore leather armor and dressed in the style of heavy riders.,helmets,dressed,6.88189172744751
the man should have died instantly.,have,have,0.0007688426994718611
"in summer the rice forms a green velvety blanket, then turns golden in autumn when it ripens and is harvested.",white,golden,5.596498966217041
clark also expressed the hope that he and redgrave could continue with their marriage.,also,also,0.5926163196563721
"the poverty, for instance, does not create the sense of shame as it does for people who live in western countries.",affect,create,3.135867118835449
which i mean i think it should be anyway,i,i,0.020568644627928734
"so, i went to court by myself and told them the truth, but it did not do me any good.",any,any,0.15424710512161255
"click more links (on the right-hand side under miscellaneous), and from",external,more,5.597268581390381
and so i started watching it and all of a sudden stay tuned next week and i went what,",",week,4.658811569213867
no oh no oh well take care,",",oh,2.7628586292266846
"'hello, ben.'",sir,ben,6.397660732269287
how can you prove it,"""",how,0.9437062740325928
well see that is not too bad  a couple hours,a,a,1.0768036842346191
"in the east, christian forces were in retreat as a new moslem power began to rise.",##m,##m,0.06834597885608673
we have been told on reasonably high authority that true charity vaunteth not itself,been,been,0.005504688248038292
yeah and what to do when they're faced with it,who,yeah,9.92856216430664
"he mostly hangs out with a group of older, southern black men, who call him jumper and black cat.",out,out,0.05808878690004349
'less loud.,too,less,8.374934196472168
i'm going to be able to make my own clothes,to,to,1.8596476365928538e-05
the river plays a central role in all visits to paris.,a,a,0.011170115321874619
they're supposed to be bilingual,',',5.364403477869928e-06
"oh, czarek, but will happen to us?",",",",",0.22289174795150757
"turned out, i was not completely wrong.",not,not,0.9779338240623474
"native  'me win, me passum heap big law ...",of,big,10.736577987670898
"in any case--it's over.""  ",it,-,1.9402885437011719
the herbal extract shows success in treating mild dementia and preventing alzheimer's memory loss.,in,in,0.022960752248764038
that is why icons have the power they have.,is,is,0.06283671408891678
said i was foolishly proud. ,he,i,1.8188837766647339
the word had filled his head as though the girl had whispered directly into both ears.,spoken,whispered,3.729219675064087
or at least they try and do something about it first,at,at,0.00025281094713136554
theoretically scale economies in delivery are not firm specific.,of,in,2.0122640132904053
"others complain that the superstars are over the hill, and are trotting out mediocre work.",all,tr,1.2158328294754028
the union has about 4000 members in canada.,across,in,0.9346708655357361
"have you any tips to give us before we clear out?""",when,before,2.030336618423462
"'uh, hi guys,' daniel said meekly.",',',0.00011717586312443018
oh um i talked to someone about san antonio,talked,talked,0.2781681716442108
a misty morning makes the scene even more evocative of the past.,ev,ev,0.0006658005877397954
"races are held between april and december at the veliefendi hippodrome near bakerky, 15 km (9 miles) west of istanbul.",vienna,istanbul,3.799508810043335
