sentence,pred,label,loss
conceptually cream skimming has two basic dimensions - product and geography.,-,two,8.000955581665039
one of our number will carry out your instructions minutely.,to,number,12.96890640258789
how do you know? all this is their information again.,',again,9.306339263916016
my walkman broke so i'm upset now i just have to turn the stereo up real loud,of,m,8.460521697998047
(read  for slate 's take on jackson's findings.),jackson,.,2.303879737854004
gays and lesbians.,##s,##s,0.023912830278277397
"i burst through a set of cabin doors, and fell to the ground-",the,cabin,10.068957328796387
fun for adults and children.,',for,5.8906145095825195
issues in data synthesis.,the,data,9.297937393188477
well you see that on television also,',see,9.391990661621094
vrenna and i both fought him and he nearly took us.,.,took,13.69349193572998
this analysis pooled estimates from these two studies to develop a c-r function linking pm to chronic bronchitis.,.,bro,9.375246047973633
he turned and smiled at vrenna.,br,smiled,11.930381774902344
we sought to identify practices that were commonly implemented by the agencies within the past 5 years.,was,commonly,10.306069374084473
the other men shuffled.,##pe,shuffled,20.3909912109375
well it's been very interesting,',',0.12283173948526382
he started slowly back to the bunkhouse.,the,the,1.03729248046875
yeah well you're a student right,is,re,11.157279014587402
postal service were to reduce delivery frequency.,.,service,8.45767879486084
were they in there?,charge,there,2.7673747539520264
there's a uh a couple called um oh i'm going to forgot his name now uh dirkson,',',0.0010132422903552651
"poirot, i exclaimed, with relief, and seizing him by both hands, i dragged him into the room. ",on,exclaimed,11.304891586303711
"the word aswan actually means trade or market in ancient egyptian, signifying its most pre-eminent activity.",bo,word,12.114630699157715
well what the market can bear and,bear,market,10.724149703979492
and it is nice talking to you all righty,talking,talking,1.866307258605957
you have access to the facts. ,from,you,5.749570369720459
build environment engineering manufacturing production (all rate tooling) (1st set of production tooling),##ing,(,8.541200637817383
she smiled back.,was,smiled,4.261503219604492
how do we fix this?',.,?,1.3785420656204224
but that takes too much planning,care,much,6.266371726989746
because it plays on my childhood imagination.,was,on,10.298649787902832
it's slow it's uh there are many better machines on the market right now for,.,right,11.842333793640137
"at the heart of the sanctuary, a small granite shrine once held the sacred barque of horus himself.",',granite,13.77658462524414
consider the united states postal service.,states,states,0.004568496719002724
in full costume.,p,costume,12.27358627319336
take a remarkable statistic that shesol cites but lets pass relatively unexamined.,un,une,5.468103408813477
get individuals to invest their time and the funding will follow.,',to,3.007331371307373
"the man on the ground thinks for a moment and yells back, you must work in management.",.,back,4.381197452545166
the economy could be still better.,of,be,9.134166717529297
hills and mountains are especially sanctified in the cult of jainism.,.,in,7.553430557250977
the famous tenements (or lands ) began to be built.,for,ten,4.621877193450928
in the midst of this amazing amalgam of cultures is a passion for continuity.,the,this,4.455373764038086
entreaties to the apartment's owner have gone nowhere.,",",##ati,22.241147994995117
mrs. cavendish is in her mother-in-law's room. ,cavendish,mother,9.361417770385742
but i thought you'd sworn off coffee.,',',0.004312026780098677
we stink all the time.,they,we,3.628397226333618
ca'daan continued.,harm,',10.079700469970703
well because how how hot i mean like like in the coldest that it gets in winter down there how much is it,cold,how,14.15327262878418
each of the men wore leather armor and dressed in the style of heavy riders.,re,dressed,9.091618537902832
the man should have died instantly.,had,have,7.378478527069092
"in summer the rice forms a green velvety blanket, then turns golden in autumn when it ripens and is harvested.",the,golden,11.090255737304688
clark also expressed the hope that he and redgrave could continue with their marriage.,",",also,12.258539199829102
"the poverty, for instance, does not create the sense of shame as it does for people who live in western countries.",',create,10.066544532775879
which i mean i think it should be anyway,',i,10.807931900024414
"so, i went to court by myself and told them the truth, but it did not do me any good.",.,any,16.893939971923828
"click more links (on the right-hand side under miscellaneous), and from",',more,4.677579402923584
and so i started watching it and all of a sudden stay tuned next week and i went what,?,week,10.072480201721191
no oh no oh well take care,take,oh,11.633021354675293
"'hello, ben.'",mum,ben,7.096560001373291
how can you prove it,how,how,0.37015607953071594
well see that is not too bad  a couple hours,',a,3.66243314743042
"in the east, christian forces were in retreat as a new moslem power began to rise.",.,##m,16.167213439941406
we have been told on reasonably high authority that true charity vaunteth not itself,to,been,3.735555648803711
yeah and what to do when they're faced with it,and,yeah,10.75446891784668
"he mostly hangs out with a group of older, southern black men, who call him jumper and black cat.",.,out,16.52773094177246
'less loud.,.,less,14.812972068786621
i'm going to be able to make my own clothes,',to,8.225728034973145
the river plays a central role in all visits to paris.,to,a,5.949446678161621
they're supposed to be bilingual,',',0.044911712408065796
"oh, czarek, but will happen to us?",',",",6.1242594718933105
"turned out, i was not completely wrong.",the,not,7.697418689727783
"native  'me win, me passum heap big law ...",',big,11.317593574523926
"in any case--it's over.""  ",case,-,5.356121063232422
the herbal extract shows success in treating mild dementia and preventing alzheimer's memory loss.,of,in,2.9007186889648438
that is why icons have the power they have.,is,is,1.2241427898406982
said i was foolishly proud. ,it,i,1.842981219291687
the word had filled his head as though the girl had whispered directly into both ears.,.,whispered,12.686376571655273
or at least they try and do something about it first,.,at,7.386508941650391
theoretically scale economies in delivery are not firm specific.,of,in,3.860860824584961
"others complain that the superstars are over the hill, and are trotting out mediocre work.",##bl,tr,7.089130401611328
the union has about 4000 members in canada.,.,in,14.193893432617188
"have you any tips to give us before we clear out?""",us,before,11.831974983215332
"'uh, hi guys,' daniel said meekly.",',',1.137284278869629
oh um i talked to someone about san antonio,.,talked,9.216379165649414
a misty morning makes the scene even more evocative of the past.,vo,ev,12.960399627685547
"races are held between april and december at the veliefendi hippodrome near bakerky, 15 km (9 miles) west of istanbul.",and,istanbul,18.248693466186523
um-hum so you figure one of these days you're going to go back to being an engineer is that what you think,of,of,0.25458240509033203
right on the waterfront; offers a more formal atmosphere and a great place to catch a sunset.,be,catch,9.999488830566406
(kohler's dictionary for accountants) contract authority - contract authority is a subset of budget authority.,and,contract,12.9812650680542
it will be a pleasure dressing jane.,',will,10.615619659423828
"in applying this requirement, the following factors may influence the auditors' assessment of control ",on,assessment,10.573945045471191
do they live close by,.,do,9.717780113220215
history defies laws.,.,laws,18.332862854003906
now conservatives are fighting back.,.,conservatives,17.469789505004883
"the house is surprisingly small and simple, with one bedroom, a tiny kitchen, and a couple of social rooms.",',a,6.099431991577148
"fiction has its glories, but concealment is merely squalid.",not,conceal,13.60697078704834
are there children who need to be entertained?,and,need,18.255422592163086
"hopefully, wall street will take voluntary steps to address these issues before it is forced to act.",##ble,is,9.335455894470215
okay pro football i like two teams one the new york giants and the second is the raiders,and,and,0.012110396288335323
in public places there is one state that does that by the way,in,in,0.5267219543457031
we have gone on trips we've bathed in streams,out,bathed,8.221269607543945
initiatives completed under phase i of the plan include the ,##n,the,2.5052220821380615
yeah well i'm well i'm definitely for it,make,m,9.628437042236328
but what he means by what he shows is anybody's guess.,is,shows,11.1351957321167
you know and held over for trial,i,you,2.0381619930267334
i tipped it upside down.,.,upside,6.427792549133301
"for a screening test, high sensitivity is the most desirable parameter.",highly,is,1.8045470714569092
what involvement did other key players have in connection with these accountability failures?,.,in,9.326502799987793
"in the violet shade of morning, ca'daan saw adrin standing on the dunes in sword practice.",th,##an,14.454408645629883
i bet even my cats could do that,",",even,7.7575459480285645
he distinctly said you were to repair the sky.,.,he,7.185022354125977
they watched me constantly for weeks.,',me,17.968162536621094
"it has a staff of about 100 employees, including attorneys and support staff, in 10 branch offices.",and,a,4.81297492980957
first we applied three alternative concentrationresponse (c-r) functions to estimate premature mortality incidence.,.,first,9.336206436157227
all we've done is checked that the first two creditors divided their collective share of $125 appropriately,##wo,done,13.142461776733398
so that will definitely help in taxes and what you will get back,',you,9.61123275756836
the smart annie was not in evidence.,.,evidence,15.445059776306152
"yes, mistuh reese, suh? ",a,",",4.662640571594238
"at the heart of the sanctuary, a small granite shrine once held the sacred barque of horus himself.",a,small,6.37017822265625
postal service's domestic rates for first-class and priority mail to the inbound mail distribution described above.,and,for,8.024748802185059
do you like um any rock and roll at all,.,at,7.024587154388428
"dining room, grill, pub.",bo,grill,16.43299102783203
"but such a show would have meant the museum taking a hard look at its own, often controversial part in the art world.",such,such,1.9659907817840576
"and while we allow people to give a kidney to their child, we do not allow them to donate their heart.","""",and,2.619919776916504
"unbar, francisco! he called in spanish.",is,called,5.646166801452637
"who could there be?""",anywhere,?,5.063311576843262
my wife and daughter are the ones doing riley.,and,and,0.6027265787124634
take a backwaters trip through the lagoons and around the island villages.,of,around,5.700684547424316
alcohol use and trauma.,to,trauma,10.707368850708008
'but if they catch me...',.,me,13.457597732543945
"the win brought tears to her eyes, of course, and prompted a phone call to mom in india.",##cl,brought,15.542340278625488
"the muslim campaign for partition was led by london-trained bombay lawyer, muhammad ali jinnah.",he,the,2.4859278202056885
it's um it's it's amazingly less expensive than it is,',s,7.219758033752441
automobile includes small trucks.,this,automobile,14.165735244750977
"you're quite safe."" her breath came more normally, and the colour was returning to her cheeks.",',the,3.4024100303649902
probably so probably so um-hum,.,-,7.054031848907471
"after its early failure, hubble now provides vital clues to the universe.",own,early,9.854570388793945
well they all come back from from the bottom,and,well,7.076840400695801
just a hunch.,what,just,2.532677412033081
the span  a guide to legal services planning.,rough,span,16.82736587524414
yeah i think they did a pretty good job but  they did not follow it exactly but they did give it you know do it justice,to,know,7.2349066734313965
"she always says the right thing, does the right thing, wears the right clothes.",.,right,17.939010620117188
'you killed derry.',',killed,9.784485816955566
"twelve days later, i made my second.",two,twelve,5.104573726654053
and enjoy nature and uh kind of wipe out the stress of everyday life i'd always,.,i,7.265239715576172
"mrs. vandemeyer, she read, ""20 south audley mansions.",.,mansions,14.378661155700684
i'd call it a bad date.,',',1.446938395500183
