sentence,pred,label,loss
conceptually cream skimming has two basic dimensions - product and geography.,and,two,7.103842735290527
one of our number will carry out your instructions minutely.,men,number,8.078632354736328
how do you know? all this is their information again.,.,again,6.470245838165283
my walkman broke so i'm upset now i just have to turn the stereo up real loud,am,m,4.3628644943237305
(read  for slate 's take on jackson's findings.),.,.,2.14656400680542
gays and lesbians.,and,##s,1.9038197994232178
"i burst through a set of cabin doors, and fell to the ground-",and,cabin,10.949450492858887
fun for adults and children.,for,for,1.1407252550125122
issues in data synthesis.,.,data,9.751666069030762
well you see that on television also,know,see,4.7360992431640625
vrenna and i both fought him and he nearly took us.,all,took,7.019992828369141
this analysis pooled estimates from these two studies to develop a c-r function linking pm to chronic bronchitis.,bro,bro,1.663648247718811
he turned and smiled at vrenna.,back,smiled,5.502839088439941
we sought to identify practices that were commonly implemented by the agencies within the past 5 years.,and,commonly,8.28023910522461
the other men shuffled.,.,shuffled,11.559616088867188
well it's been very interesting,it,',7.054586887359619
he started slowly back to the bunkhouse.,and,the,3.381756544113159
yeah well you're a student right,are,re,5.146682262420654
postal service were to reduce delivery frequency.,.,service,5.213666915893555
were they in there?,the,there,5.416064262390137
there's a uh a couple called um oh i'm going to forgot his name now uh dirkson,me,',5.350502014160156
"poirot, i exclaimed, with relief, and seizing him by both hands, i dragged him into the room. ",",",exclaimed,9.15754222869873
"the word aswan actually means trade or market in ancient egyptian, signifying its most pre-eminent activity.",name,word,2.11688494682312
well what the market can bear and,other,market,7.610002517700195
and it is nice talking to you all righty,up,talking,4.3553009033203125
you have access to the facts. ,they,you,3.6938905715942383
build environment engineering manufacturing production (all rate tooling) (1st set of production tooling),a,(,4.5690412521362305
she smiled back.,was,smiled,6.208148002624512
how do we fix this?',.,?,3.79909348487854
but that takes too much planning,.,much,2.868518829345703
because it plays on my childhood imagination.,in,on,2.2936577796936035
it's slow it's uh there are many better machines on the market right now for,and,right,2.015367269515991
"at the heart of the sanctuary, a small granite shrine once held the sacred barque of horus himself.",and,granite,9.0913667678833
consider the united states postal service.,states,states,0.5842304825782776
in full costume.,.,costume,10.189648628234863
take a remarkable statistic that shesol cites but lets pass relatively unexamined.,se,une,5.818044662475586
get individuals to invest their time and the funding will follow.,and,to,1.969244122505188
"the man on the ground thinks for a moment and yells back, you must work in management.",and,back,5.961888790130615
the economy could be still better.,be,be,0.14924998581409454
hills and mountains are especially sanctified in the cult of jainism.,by,in,3.014376163482666
the famous tenements (or lands ) began to be built.,all,ten,3.8384597301483154
in the midst of this amazing amalgam of cultures is a passion for continuity.,the,this,3.860623836517334
entreaties to the apartment's owner have gone nowhere.,##vent,##ati,6.902885437011719
mrs. cavendish is in her mother-in-law's room. ,-,mother,3.1746737957000732
but i thought you'd sworn off coffee.,and,',5.974207401275635
we stink all the time.,they,we,2.43937349319458
ca'daan continued.,.,',6.71406364440918
well because how how hot i mean like like in the coldest that it gets in winter down there how much is it,so,how,4.917449474334717
each of the men wore leather armor and dressed in the style of heavy riders.,.,dressed,5.588379859924316
the man should have died instantly.,and,have,6.9625959396362305
"in summer the rice forms a green velvety blanket, then turns golden in autumn when it ripens and is harvested.",and,golden,8.062281608581543
clark also expressed the hope that he and redgrave could continue with their marriage.,they,also,4.392641067504883
"the poverty, for instance, does not create the sense of shame as it does for people who live in western countries.",do,create,6.9918107986450195
which i mean i think it should be anyway,i,i,0.14422138035297394
"so, i went to court by myself and told them the truth, but it did not do me any good.",and,any,7.261505603790283
"click more links (on the right-hand side under miscellaneous), and from",external,more,3.9521191120147705
and so i started watching it and all of a sudden stay tuned next week and i went what,.,week,6.302280902862549
no oh no oh well take care,please,oh,5.273841381072998
"'hello, ben.'",.,ben,9.562091827392578
how can you prove it,you,how,4.861223220825195
well see that is not too bad  a couple hours,a,a,0.20001377165317535
"in the east, christian forces were in retreat as a new moslem power began to rise.",##m,##m,2.143540859222412
we have been told on reasonably high authority that true charity vaunteth not itself,and,been,5.6329545974731445
yeah and what to do when they're faced with it,and,yeah,7.4414873123168945
"he mostly hangs out with a group of older, southern black men, who call him jumper and black cat.",on,out,2.92435622215271
'less loud.,.,less,7.3935136795043945
i'm going to be able to make my own clothes,you,to,2.8819568157196045
the river plays a central role in all visits to paris.,the,a,2.203916549682617
they're supposed to be bilingual,they,',4.5656352043151855
